lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003477693.1	-	NW_020871817.1	XM_027379687.1	3_U	DE	upstream	+	40S ribosomal protein S15Aa%2C transcript variant X2	108.299 kb
XR_003477693.1	-	NW_020871817.1	XM_027379691.1	4_U	not DE	upstream	-	transport and Golgi organization 2 homolog%2C transcript variant X4	126.552 kb
XR_003475978.1	-	NW_020869259.1	XM_027359380.1	1_U	DE	upstream	-	alpha-2-macroglobulin-like protein 1	8.945 kb
XR_003475978.1	-	NW_020869259.1	XM_027359377.1	2_U	DE	upstream	-	alpha-2-macroglobulin-like protein 1	30.333 kb
XR_003475978.1	-	NW_020869259.1	XM_027359376.1	3_U	not DE	upstream	+	alpha-2-macroglobulin-like protein 1	40.590 kb
XR_003475978.1	-	NW_020869259.1	XM_027359379.1	4_U	not DE	upstream	-	vegetative cell wall protein gp1-like	57.515 kb
XR_003475978.1	-	NW_020869259.1	XM_027359374.1	5_U	DE	upstream	-	inactive hydroxysteroid dehydrogenase-like protein 1%2C transcript variant X1	204.593 kb
XR_003475978.1	-	NW_020869259.1	XM_027359382.1	1_D	DE	downstream	-	alpha-2-macroglobulin-like protein 1	10.650 kb
XR_003475978.1	-	NW_020869259.1	XM_027359383.1	2_D	not DE	downstream	-	uncharacterized LOC113808063	23.836 kb
XR_003475978.1	-	NW_020869259.1	XM_027359378.1	3_D	not DE	downstream	-	kielin/chordin-like protein	32.073 kb
