lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003475661.1	+	NW_020868952.1	XM_027356081.1	3_D	DE	downstream	-	glycerate kinase-like	32.429 kb
XR_003475661.1	+	NW_020868952.1	XM_027356082.1	4_D	not DE	downstream	+	mycophenolic acid acyl-glucuronide esterase%2C mitochondrial-like	42.544 kb
XR_003475661.1	+	NW_020868952.1	XM_027356083.1	5_D	DE	downstream	-	mycophenolic acid acyl-glucuronide esterase%2C mitochondrial-like	50.339 kb
XR_003475662.1	+	NW_020868959.1	XM_027356136.1	1_U	not DE	upstream	-	uncharacterized LOC113805179%2C transcript variant X4	Overlap: 6089 bases
XR_003475662.1	+	NW_020868959.1	XM_027356139.1	1_D	DE	downstream	+	brain protein I3-like	6.695 kb
XR_003475024.1	+	NW_020872814.1	XM_027352022.1	1_U	DE	upstream	+	uncharacterized LOC113801216	8.806 kb
XR_003475024.1	+	NW_020872814.1	XM_027352018.1	1_D	DE	downstream	+	kynureninase-like	99.638 kb
XR_003475024.1	+	NW_020872814.1	XM_027352023.1	2_D	not DE	downstream	-	glutamate-rich WD repeat-containing protein 1-like	226.697 kb
XR_003475024.1	+	NW_020872814.1	XM_027352017.1	3_D	not DE	downstream	+	protein SMG8-like	235.725 kb
XR_003475024.1	+	NW_020872814.1	XM_027352016.1	4_D	DE	downstream	-	SNF-related serine/threonine-protein kinase-like	258.334 kb
XR_003475024.1	+	NW_020872814.1	XM_027352019.1	5_D	not DE	downstream	-	uncharacterized LOC113801214	453.803 kb
XR_003476996.1	+	NW_020870500.1	XM_027371505.1	1_U	not DE	upstream	-	actin-like	2.429 kb
XR_003476996.1	+	NW_020870500.1	XM_027371503.1	2_U	DE	upstream	-	actin-like	20.601 kb
XR_003476996.1	+	NW_020870500.1	XM_027371502.1	3_U	not DE	upstream	-	actin-like	31.841 kb
XR_003476996.1	+	NW_020870500.1	XM_027371499.1	4_U	DE	upstream	-	actin-like	43.185 kb
XR_003476996.1	+	NW_020870500.1	XM_027371500.1	5_U	DE	upstream	-	actin-like	37.130 kb
XR_003476996.1	+	NW_020870500.1	XM_027371506.1	1_D	DE	downstream	+	aromatic-L-amino-acid decarboxylase-like	9.401 kb
XR_003476996.1	+	NW_020870500.1	XM_027371483.1	2_D	not DE	downstream	+	alpha-(1%2C3)-fucosyltransferase C-like	39.432 kb
XR_003476996.1	+	NW_020870500.1	XM_027371507.1	3_D	not DE	downstream	-	uncharacterized LOC113819274	65.286 kb
XR_003476996.1	+	NW_020870500.1	XM_027371484.1	4_D	not DE	downstream	+	uncharacterized LOC113819238	117.027 kb
XR_003476996.1	+	NW_020870500.1	XM_027371485.1	5_D	not DE	downstream	+	tripartite motif-containing protein 3-like	187.479 kb
XR_003477129.1	+	NW_020868536.1	XM_027372966.1	1_U	DE	upstream	+	uncharacterized LOC113820623	6.032 kb
XR_003477129.1	+	NW_020868536.1	XM_027372959.1	2_U	not DE	upstream	+	chlorophyllase-2%2C chloroplastic-like	24.853 kb
XR_003477129.1	+	NW_020868536.1	XM_027372947.1	3_U	not DE	upstream	+	exosome complex component RRP46-like	44.862 kb
XR_003477129.1	+	NW_020868536.1	XM_027372920.1	4_U	DE	upstream	-	deoxyhypusine hydroxylase-like%2C transcript variant X1	60.238 kb
XR_003477129.1	+	NW_020868536.1	XM_027372889.1	5_U	not DE	upstream	-	putative nuclease HARBI1	66.274 kb
XR_003477869.1	+	NW_020872476.1	XM_027382167.1	1_D	DE	downstream	+	galactosylceramide sulfotransferase-like%2C transcript variant X1	15.501 kb
XR_003477869.1	+	NW_020872476.1	XM_027382172.1	2_D	DE	downstream	+	galactosylceramide sulfotransferase-like	38.391 kb
XR_003477869.1	+	NW_020872476.1	XM_027382173.1	3_D	not DE	downstream	+	galactosylceramide sulfotransferase-like	48.674 kb
XR_003477869.1	+	NW_020872476.1	XM_027382165.1	4_D	DE	downstream	+	myoneurin-like%2C transcript variant X1	282.509 kb
XR_003475486.1	-	NW_020868718.1	XM_027353888.1	1_U	DE	upstream	-	acetolactate synthase-like protein	31.477 kb
XR_003475486.1	-	NW_020868718.1	XM_027353889.1	2_U	DE	upstream	-	acetolactate synthase-like protein	47.564 kb
XR_003475486.1	-	NW_020868718.1	XM_027353904.1	3_U	not DE	upstream	-	cysteine-rich protein 2-binding protein-like	102.011 kb
XR_003475486.1	-	NW_020868718.1	XM_027353902.1	4_U	not DE	upstream	+	crustacean hyperglycemic hormones	118.356 kb
XR_003475486.1	-	NW_020868718.1	XM_027353887.1	5_U	DE	upstream	+	uncharacterized LOC113803161%2C transcript variant X3	138.145 kb
XR_003475486.1	-	NW_020868718.1	XM_027353905.1	1_D	DE	downstream	+	uncharacterized LOC113803178	0.657 kb
XR_003475486.1	-	NW_020868718.1	XM_027353906.1	2_D	not DE	downstream	-	serine-rich adhesin for platelets-like	137.314 kb
XR_003475486.1	-	NW_020868718.1	XM_027353907.1	3_D	not DE	downstream	+	extensin-like	174.902 kb
XR_003475486.1	-	NW_020868718.1	XM_027353891.1	4_D	DE	downstream	-	fatty acid hydroxylase domain-containing protein 2-like%2C transcript variant X2	669.371 kb
XR_003475486.1	-	NW_020868718.1	XM_027353893.1	5_D	not DE	downstream	-	octopamine receptor Oamb-like	873.164 kb
XR_003476608.1	-	NW_020868477.1	XM_027367638.1	1_U	DE	upstream	-	UDP-glucuronosyltransferase 2C1-like%2C transcript variant X3	3.814 kb
XR_003476608.1	-	NW_020868477.1	XM_027367623.1	2_U	DE	upstream	-	2-hydroxyacylsphingosine 1-beta-galactosyltransferase-like	31.539 kb
XR_003476608.1	-	NW_020868477.1	XM_027367633.1	3_U	DE	upstream	-	UDP-glucuronosyltransferase 2B14-like	42.474 kb
XR_003476608.1	-	NW_020868477.1	XM_027367611.1	4_U	DE	upstream	-	UDP-glucuronosyltransferase 2B19-like	53.946 kb
XR_003476608.1	-	NW_020868477.1	XM_027367606.1	5_U	DE	upstream	-	uncharacterized LOC113815546	118.873 kb
XR_003476608.1	-	NW_020868477.1	XM_027367643.1	1_D	DE	downstream	-	UDP-glucuronosyltransferase 2C1-like	7.428 kb
XR_003476608.1	-	NW_020868477.1	XM_027367652.1	2_D	DE	downstream	-	UDP-glucuronosyltransferase 2B19-like	20.855 kb
XR_003476608.1	-	NW_020868477.1	XM_027367672.1	3_D	not DE	downstream	+	uncharacterized LOC113815642%2C transcript variant X1	35.133 kb
XR_003476608.1	-	NW_020868477.1	XM_027367527.1	4_D	not DE	downstream	+	uncharacterized LOC113815459	100.913 kb
XR_003476608.1	-	NW_020868477.1	XM_027367537.1	5_D	not DE	downstream	+	gamma-aminobutyric acid receptor subunit beta-like	124.087 kb
XR_003476748.1	+	NW_020870243.1	XM_027369060.1	1_U	not DE	upstream	+	myosin-9-like	21.634 kb
XR_003476748.1	+	NW_020870243.1	XM_027369063.1	2_U	not DE	upstream	-	uncharacterized LOC113817063	127.255 kb
XR_003476748.1	+	NW_020870243.1	XM_027369059.1	3_U	DE	upstream	+	calmodulin-beta-like	137.313 kb
XR_003476748.1	+	NW_020870243.1	XM_027369061.1	4_U	not DE	upstream	-	cell wall protein DAN4-like	145.403 kb
XR_003476748.1	+	NW_020870243.1	XM_027369065.1	1_D	DE	downstream	+	uncharacterized LOC113817065	6.986 kb
XR_003476748.1	+	NW_020870243.1	XM_027369066.1	2_D	not DE	downstream	+	protein germ cell-less-like	21.082 kb
XR_003476748.1	+	NW_020870243.1	XM_027369068.1	3_D	DE	downstream	+	myosin-VIIa-like	92.992 kb
XR_003476748.1	+	NW_020870243.1	XM_027369067.1	4_D	DE	downstream	-	mucolipin-3-like	142.247 kb
XR_003476748.1	+	NW_020870243.1	XM_027369062.1	5_D	not DE	downstream	+	collagen alpha-2(XI) chain-like	175.244 kb
XR_003475561.1	-	NW_020868820.1	XM_027354731.1	1_U	DE	upstream	+	putative methyltransferase C9orf114 homolog%2C transcript variant X2	7.013 kb
XR_003475561.1	-	NW_020868820.1	XM_027354742.1	2_U	DE	upstream	-	multiple epidermal growth factor-like domains protein 6	18.754 kb
XR_003475561.1	-	NW_020868820.1	XM_027354728.1	3_U	not DE	upstream	+	vacuolar protein sorting-associated protein 26B-like	60.885 kb
XR_003475561.1	-	NW_020868820.1	XM_027354729.1	4_U	not DE	upstream	-	U1 small nuclear ribonucleoprotein A-like	89.369 kb
XR_003475561.1	-	NW_020868820.1	XM_027354741.1	5_U	not DE	upstream	+	histone acetyltransferase Tip60-like	98.463 kb
XR_003475561.1	-	NW_020868820.1	XM_027354735.1	1_D	DE	downstream	-	collagen alpha-1(XVIII) chain-like	17.503 kb
XR_003475561.1	-	NW_020868820.1	XM_027354743.1	2_D	DE	downstream	-	serine-rich adhesin for platelets-like	38.759 kb
XR_003475561.1	-	NW_020868820.1	XM_027354738.1	3_D	not DE	downstream	+	uncharacterized LOC113803925%2C transcript variant X3	57.781 kb
XR_003475561.1	-	NW_020868820.1	XM_027354739.1	4_D	DE	downstream	-	uncharacterized LOC113803926%2C transcript variant X1	72.682 kb
XR_003477688.1	+	NW_020871785.1	XM_027379600.1	1_U	not DE	upstream	+	uncharacterized LOC113826721	170.532 kb
XR_003477688.1	+	NW_020871785.1	XM_027379594.1	2_U	not DE	upstream	+	uncharacterized LOC113826710	175.196 kb
XR_003477688.1	+	NW_020871785.1	XM_027379601.1	3_U	not DE	upstream	+	vitellogenin-like	214.336 kb
XR_003477688.1	+	NW_020871785.1	XM_027379593.1	4_U	not DE	upstream	-	extensin-like	233.185 kb
XR_003477688.1	+	NW_020871785.1	XM_027379602.1	5_U	not DE	upstream	-	protein odd-skipped-related 1-like	351.712 kb
XR_003477688.1	+	NW_020871785.1	XM_027379595.1	1_D	not DE	downstream	-	BDNF/NT-3 growth factors receptor-like	32.805 kb
XR_003477688.1	+	NW_020871785.1	XM_027379596.1	2_D	not DE	downstream	+	filaggrin-2-like	60.604 kb
XR_003477688.1	+	NW_020871785.1	XM_027379597.1	3_D	not DE	downstream	+	vitellogenin-like	87.443 kb
XR_003477688.1	+	NW_020871785.1	XM_027379599.1	4_D	not DE	downstream	+	vitellogenin-like	159.016 kb
XR_003476112.1	+	NW_020869500.1	XM_027361885.1	1_D	not DE	downstream	-	uncharacterized LOC113810182	21.522 kb
XR_003476112.1	+	NW_020869500.1	XM_027361878.1	2_D	not DE	downstream	-	carbohydrate sulfotransferase 5-like	39.775 kb
XR_003476112.1	+	NW_020869500.1	XM_027361886.1	3_D	DE	downstream	+	carnitine O-palmitoyltransferase 1%2C liver isoform-like	54.130 kb
XR_003476112.1	+	NW_020869500.1	XM_027361887.1	4_D	DE	downstream	+	carnitine O-palmitoyltransferase 1%2C liver isoform-like%2C transcript variant X1	99.875 kb
XR_003476112.1	+	NW_020869500.1	XM_027361879.1	5_D	not DE	downstream	+	transmembrane protease serine 9-like	159.728 kb
XR_003476075.1	-	NW_020869438.1	XM_027361261.1	1_U	DE	upstream	-	endoglucanase E-4-like	0.592 kb
XR_003476714.1	+	NW_020870189.1	XM_027368545.1	1_U	not DE	upstream	-	cuticle protein 16.5-like	37.195 kb
XR_003476714.1	+	NW_020870189.1	XM_027368546.1	2_U	not DE	upstream	-	cuticle protein 16.5-like	44.297 kb
XR_003476714.1	+	NW_020870189.1	XM_027368547.1	1_D	DE	downstream	+	uncharacterized LOC113816508	0.030 kb
XR_003476714.1	+	NW_020870189.1	XM_027368548.1	2_D	not DE	downstream	-	tripartite motif-containing protein 3-like	45.450 kb
XR_003477976.1	-	NW_020872656.1	XM_027383786.1	1_U	DE	upstream	-	uncharacterized LOC113830582	11.306 kb
XR_003477976.1	-	NW_020872656.1	XM_027383784.1	2_U	DE	upstream	-	uncharacterized LOC113830581	Overlap: 1152 bases
XR_003477976.1	-	NW_020872656.1	XM_027383783.1	3_U	not DE	upstream	-	uncharacterized LOC113830580	23.512 kb
XR_003476170.1	+	NW_020869565.1	XM_027362499.1	1_D	not DE	downstream	-	aconitate hydratase%2C mitochondrial-like	5.627 kb
XR_003476170.1	+	NW_020869565.1	XM_027362500.1	2_D	DE	downstream	+	T-complex protein 1 subunit theta-like	25.478 kb
XR_003477689.1	-	NW_020871785.1	XM_027379600.1	1_U	not DE	upstream	+	uncharacterized LOC113826721	171.915 kb
XR_003477689.1	-	NW_020871785.1	XM_027379594.1	2_U	not DE	upstream	+	uncharacterized LOC113826710	176.579 kb
XR_003477689.1	-	NW_020871785.1	XM_027379601.1	3_U	not DE	upstream	+	vitellogenin-like	215.719 kb
XR_003477689.1	-	NW_020871785.1	XM_027379593.1	4_U	not DE	upstream	-	extensin-like	234.568 kb
XR_003477689.1	-	NW_020871785.1	XM_027379602.1	5_U	not DE	upstream	-	protein odd-skipped-related 1-like	353.095 kb
XR_003477689.1	-	NW_020871785.1	XM_027379595.1	1_D	not DE	downstream	-	BDNF/NT-3 growth factors receptor-like	35.539 kb
XR_003477689.1	-	NW_020871785.1	XM_027379596.1	2_D	not DE	downstream	+	filaggrin-2-like	63.338 kb
XR_003477689.1	-	NW_020871785.1	XM_027379597.1	3_D	not DE	downstream	+	vitellogenin-like	90.177 kb
XR_003477689.1	-	NW_020871785.1	XM_027379599.1	4_D	not DE	downstream	+	vitellogenin-like	161.750 kb
XR_003476507.1	+	NW_020869988.1	XM_027366531.1	1_U	not DE	upstream	+	protein misato homolog 1-like	23.050 kb
XR_003476507.1	+	NW_020869988.1	XM_027366530.1	2_U	not DE	upstream	+	putative lysozyme-like protein	44.768 kb
XR_003476507.1	+	NW_020869988.1	XM_027366528.1	3_U	not DE	upstream	+	DNA replication complex GINS protein SLD5-like	88.330 kb
XR_003476507.1	+	NW_020869988.1	XM_027366527.1	4_U	DE	upstream	-	peroxiredoxin 1-like	141.802 kb
XR_003476507.1	+	NW_020869988.1	XM_027366526.1	5_U	DE	upstream	+	hydroxyacylglutathione hydrolase%2C mitochondrial-like%2C transcript variant X5	153.815 kb
XR_003476507.1	+	NW_020869988.1	XM_027366532.1	1_D	DE	downstream	+	gamma-butyrobetaine dioxygenase-like	0.336 kb
XR_003476507.1	+	NW_020869988.1	XM_027366533.1	2_D	DE	downstream	+	probable nuclear hormone receptor HR3%2C transcript variant X1	52.256 kb
XR_003476507.1	+	NW_020869988.1	XM_027366537.1	3_D	DE	downstream	-	uncharacterized LOC113814501	150.938 kb
XR_003477585.1	+	NW_020871338.1	XM_027378182.1	1_U	not DE	upstream	-	uncharacterized protein DDB_G0271670-like	18.139 kb
XR_003477585.1	+	NW_020871338.1	XM_027378181.1	2_U	not DE	upstream	-	extensin-like	39.297 kb
XR_003475373.1	-	NW_020872851.1	XM_027352316.1	1_U	DE	upstream	-	ATP-binding cassette sub-family A member 5-like%2C transcript variant X2	39.028 kb
XR_003475373.1	-	NW_020872851.1	XM_027352314.1	2_U	not DE	upstream	-	gastrula zinc finger protein XlCGF9.1-like	122.830 kb
XR_003475373.1	-	NW_020872851.1	XM_027352311.1	3_U	not DE	upstream	-	protein krueppel-like%2C transcript variant X1	124.305 kb
XR_003475373.1	-	NW_020872851.1	XM_027352310.1	4_U	not DE	upstream	-	protein krueppel-like	125.917 kb
XR_003475373.1	-	NW_020872851.1	XM_027352321.1	5_U	not DE	upstream	-	zinc finger protein 572-like	128.843 kb
XR_003475373.1	-	NW_020872851.1	XM_027352320.1	1_D	not DE	downstream	-	E3 ubiquitin-protein ligase SH3RF1-like%2C transcript variant X2	46.866 kb
XR_003475373.1	-	NW_020872851.1	XM_027352305.1	2_D	DE	downstream	-	serine/threonine-protein kinase RIO3-like%2C transcript variant X1	160.761 kb
XR_003475373.1	-	NW_020872851.1	XM_027352322.1	3_D	not DE	downstream	+	uncharacterized LOC113801906	175.327 kb
XR_003475373.1	-	NW_020872851.1	XM_027352309.1	4_D	not DE	downstream	+	N-acetylglucosamine-6-phosphate deacetylase-like	228.272 kb
XR_003475373.1	-	NW_020872851.1	XM_027352300.1	5_D	not DE	downstream	-	uncharacterized LOC113801890	234.147 kb
XR_003476974.1	-	NW_020870491.1	XM_027371398.1	1_U	not DE	upstream	+	frizzled-10-B-like	42.646 kb
XR_003476974.1	-	NW_020870491.1	XM_027371386.1	2_U	not DE	upstream	+	vacuolar protein sorting-associated protein 4B-like	189.366 kb
XR_003476974.1	-	NW_020870491.1	XM_027371385.1	3_U	DE	upstream	-	cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1-like	211.412 kb
XR_003476974.1	-	NW_020870491.1	XM_027371384.1	4_U	DE	upstream	+	transmembrane protein 59-like%2C transcript variant X2	232.717 kb
XR_003476974.1	-	NW_020870491.1	XM_027371382.1	5_U	not DE	upstream	+	neurofilament medium polypeptide-like%2C transcript variant X2	292.786 kb
XR_003476974.1	-	NW_020870491.1	XM_027371387.1	1_D	DE	downstream	+	RNA exonuclease 4-like%2C transcript variant X5	97.312 kb
XR_003476974.1	-	NW_020870491.1	XM_027371389.1	2_D	not DE	downstream	+	RNA exonuclease 4-like%2C transcript variant X1	113.436 kb
XR_003476974.1	-	NW_020870491.1	XM_027371392.1	3_D	not DE	downstream	-	uncharacterized LOC113819153	162.205 kb
XR_003476974.1	-	NW_020870491.1	XM_027371408.1	4_D	DE	downstream	+	retinal homeobox protein Rx-like	188.606 kb
XR_003476974.1	-	NW_020870491.1	XM_027371409.1	5_D	not DE	downstream	+	leucine-rich repeat extensin-like protein 3	196.765 kb
